Constraint Type;Run Number;Duration;Result
constrained;20.1;[4.116146087646484, 2.0447371006011963, 2.2317731380462646, 4.65294075012207, 9.494769096374512];Incorrect
constrained;30.1;[4.1333489418029785, 3.077167272567749, 3.3008580207824707, 3.6192378997802734, 6.892935752868652];Incorrect
constrained;40.1;[2.488079071044922, 3.468031883239746, 3.868751049041748, 4.524775743484497, 2.0824639797210693];Incorrect
constrained;50.1;[1.4556858539581299, 5.464410066604614, 2.2826457023620605, 4.122034311294556, 4.208617925643921];Incorrect
constrained;12.1;[1.0095441341400146];Correct
constrained;22.1;[0.7645969390869141];Correct
constrained;32.1;[1.2033159732818604];Correct
constrained;42.1;[0.7762889862060547];Correct
constrained;13.1;[1.982151746749878, 2.3165969848632812, 2.334681272506714, 1.173835039138794, 1.3703968524932861];Incorrect
constrained;23.1;[1.0710620880126953, 0.9048590660095215, 2.0643680095672607, 2.5062270164489746, 2.938267230987549];Incorrect
constrained;33.1;[2.179682731628418, 2.0182080268859863, 3.110060930252075, 0.9606750011444092, 1.2365939617156982];Incorrect
constrained;14.1;[0.9476110935211182];Correct
constrained;24.1;[1.9616022109985352];Correct
constrained;34.1;[0.7999420166015625];Correct
constrained;44.1;[2.0894150733947754];Correct
constrained;15.1;[5.064672946929932, 1.1624126434326172, 1.053528070449829];Correct
constrained;25.1;[1.2125420570373535];Correct
constrained;45.1;[2.1815268993377686];Correct
constrained;16.1;[1.4222052097320557, 1.3563451766967773, 2.608436346054077, 1.268535852432251, 2.821092128753662];Incorrect
constrained;26.1;[1.3175227642059326, 3.2345640659332275, 4.517428874969482, 0.9664850234985352, 2.1417059898376465];Incorrect
constrained;36.1;[2.7000389099121094, 1.1514091491699219, 1.7801847457885742, 1.2534599304199219, 1.372257947921753];Incorrect
constrained;46.1;[2.178063154220581, 4.333208084106445, 3.606215238571167, 2.184213638305664, 1.1647000312805176];Incorrect
constrained;17.1;[2.2409169673919678, 1.2767868041992188, 2.6087958812713623, 4.182630777359009, 1.3709208965301514];Incorrect
constrained;27.1;[1.1245899200439453, 1.6017332077026367, 0.972790002822876, 2.1693620681762695, 1.039823055267334];Incorrect
constrained;37.1;[2.9942541122436523, 2.762995958328247, 0.9850940704345703, 2.6131398677825928, 1.5504848957061768];Incorrect
